Flag 	Hint 	Point deduction
adcb1f 	1 	3
adcb1f 	2 	10
90b353 	1 	2
90b353 	2 	2
90b353 	3 	10
f9038f 	1 	2
f9038f 	2 	2
f9038f 	3 	3
f9038f 	4 	2
f9038f 	5 	10
521bce 	1 	2
521bce 	2 	8
de3b1c 	1 	3
de3b1c 	2 	10
3b2000 	1 	4
3b2000 	2 	10
6be6ef 	1 	2
6be6ef 	2 	5
6be6ef 	3 	10
9f1f16 	1 	2
9f1f16 	2 	3
9f1f16 	3 	10
14ce18 	1 	3
14ce18 	2 	3
14ce18 	3 	10
5d402e 	1 	2
5d402e 	2 	4
5d402e 	3 	10
2362e5 	1 	2
2362e5 	2 	5
2362e5 	3 	10
93b00a 	1 	2
93b00a 	2 	1
93b00a 	3 	2
93b00a 	4 	10
21077e 	1 	2
21077e 	2 	2
21077e 	3 	3
21077e 	4 	10
d8d9da 	1 	2
d8d9da 	2 	2
d8d9da 	3 	3
d8d9da 	4 	10
831865 	1 	2
831865 	2 	3
831865 	3 	3
831865 	4 	10
d582aa 	1 	3
d582aa 	2 	5
d582aa 	3 	10
18dd8f 	1 	4
18dd8f 	2 	10

